serving-sys.com	Motion		tribunnews.com, grid.id, yenisafak.com	815	0.0485	3,2
adsco.re	Motion, Orientation	Canvas, WebRTC	tamilrockers.li, worldfree4u.club, thepiratebay3.org	648	0.0275	2
doubleverify.com	Motion		youm7.com, ign.com, filehippo.com	517	0.0453	2,4
alicdn.com	Orientation	WebRTC	taobao.com, tmall.com, login.tmall.com	417	0.3303	1,3,2,4
admixer.net	Motion		alwakeelnews.com, segodnya.ua, tsn.ua	112	0.005	2
b2c.com	Light, Proximity, Motion, Orientation	AudioContext, Battery	reuters.com, knowyourmeme.com, gotomeeting.com	108	0.0114	3
lightboxcdn.com	Orientation		cnet.com, thehill.com, avclub.com	84	0.0174	5
yieldmo.com	Orientation		cnn.com, foxnews.com, gamespot.com	83	0.0263	1
vimeocdn.com	Orientation		gwu.edu, undp.org, marieclairearabia.com	80	0.0025	6
ajax.googleapis.com	Orientation		cbslocal.com, androidauthority.com, uproxx.com	65	0.0034	2
sparkflow.net	Motion, Orientation		cbslocal.com, androidauthority.com, uproxx.com	64	0.0034	2
baidu.com	Motion	Canvas, WebRTC, Battery	1ppt.com, 5156edu.com, co188.com	59	0.0018	1,2
perimeterx.net	Motion	Canvas, AudioContext	zillow.com, udemy.com, bloomberg.com	37	0.0142	4
adsafeprotected.com	Orientation, Light, Proximity	Battery	wired.com, cbslocal.com, apartmenttherapy.com	36	0.0023	2
onetag-cdn.com	Orientation		dilei.it, mangaeden.com, animeclick.it	25	0.0005	2
cloudflare.com	Orientation, Motion		torrentdosfilmeshd.net, el7l.tv, watchtheoffice.online	24	0.001	2
ad-score.com	Orientation, Motion	Canvas, AudioContext, WebRTC, Battery	heraldweekly.com, maxpreps.com, daily-stuff.com	24	0.0011	2
probtn.com	Orientation		vesti.ru, nation.co.ke, tuko.co.ke	19	0.0036	2
skyscnr.com	Orientation		skyscanner.ru, skyscanner.de, skyscanner.it	17	0.001	3
foresee.com	Orientation	Canvas	t-mobile.com, amd.com, cox.com	15	0.0019	3
answerscloud.com	Orientation	Canvas	homedepot.com, macys.com, uscis.gov	15	0.005	3
d2t77mnxyo7adj.cloudfront.net	Motion	Canvas	99designs.com, renttherunway.com, touchofmodern.com	13	0.0007	4
api.no	Orientation		nettavisen.no, prisguiden.no, an.no	13	0.0004	3
ztsrv.com	Orientation, Motion, Light	Canvas	vivastreet.co.uk, peopleclick.com, jula.se	12	0.0004	2
googlesyndication.com	Motion, Orientation		usmagazine.com, hakaik24.com, vozpopuli.com	9	0.0005	2
go-mpulse.net	Orientation, Motion		macys.com, tuko.co.ke, bedbathandbeyond.com	9	0.0027	3,2
wo-x.cn	Orientation		dsmi.cc, 9rsm.com, yuewz.com	9	0.0002	2
porngray.com	Orientation		pornodingue.com, heuteporno.com, pornjam.com	8	0.0003	6
mileporn.com	Orientation		pornodoido.com, voglioporno.com, canalporno.com	7	0.0003	6
wayfair.com	Motion		wayfair.com, allmodern.com, wayfair.ca	7	0.0012	4
vimeo.com	Orientation		marieclairearabia.com, misterhorse.tv, gitkraken.com	6	0.0002	6
geetest.com	Orientation	Canvas, WebRTC	sdxy.gov.cn, zhenai.com, eeban.com	5	0.0002	2
moatads.com	Orientation	Canvas, Battery	stuff.co.nz, eatingwell.com, clublexus.com	5	0.0004	2
openxt.cn	Motion		zhainanfulishe.net, keaidian.com, yangqiu.cn	5	0.0001	4
ihg.com	Orientation, Motion	Canvas	ihg.com, holidayinn.com, intercontinental.com	4	0.0004	3
maps.googleapis.com	Orientation		uab.cat, aiims.edu, uab.es	4	0.0001	2
connatix.com	Motion, Orientation		newsobserver.com, kansascity.com, zehabesha.com	4	0.0002	2
rawgit.com	Orientation		linkrex.net, tirexo.net, extrawiki.com	4	0.0001	7
citi.com	Orientation	Canvas, Canvas font, AudioContext, WebRTC	citi.com, citibank.com, citicards.com	4	0.0019	4
pxi.pub	Motion	Canvas, AudioContext	thoughtcatalog.com, realgm.com, thehindubusinessline.com	4	0.0004	4
fengkongcloud.com	Orientation	Canvas	bolo.me, 6.cn, lianbijr.com	3	0.0001	2
united.com	Orientation, Motion	Canvas	united.com, mileageplus.com, unitedwifi.com	3	0.0009	3
hotels.com	Orientation, Motion	Canvas	hotels.com, hoteles.com, hoteis.com	3	0.0016	3
wellsfargo.com	Orientation		wellsfargo.com, wf.com, wellsfargoadvisors.com	3	0.0038	2
queit.in	Orientation, Motion	Canvas	busbud.com, giftcardmall.com, giftcards.com	3	0.0001	2
qualtrics.com	Orientation		canadapost.ca, epost.ca, decathlon.com.br	3	0.0003	2
